path,key,zh,en,pt,th,vi,ko
src/locales/lang/business,business.agent_6,6级代理,Level 6 Agent,,,Đại lý cấp 6,
src/locales/lang/business,business.agent_7,7级代理,Level 7 Agent,,,Đại lý cấp 7,
src/locales/lang/business,business.agent_8,8级代理,Level 8 Agent,,,Đại lý cấp 8,
src/locales/lang/business,business.agent_9,9级代理,Level 9 Agent,,,Đại lý cấp 9,
src/locales/lang/business,business.bank_id_p,请选择PIX类型,Please select PIX type,Selecione o tipo de chave PIX,โปรดเลือกประเภทบัญชี PIX,Vui lòng chọn loại hình PIX,
src/locales/lang/business,business.banner_add,新增banner,Add banner,Adicionar banner,เพิ่ม Banner,Thêm Banner mới,
src/locales/lang/business,business.banner_add_comfirm,确认新增,Confirm add,Confirmar,ยืนยันการสร้างใหม่,Xác nhận thêm mới,
src/locales/lang/business,business.banner_alliance_center,联盟中心,Alliance center,Centro de Afiliados,โปรแกรมพันธมิตร,Trung tâm liên kết,
src/locales/lang/business,business.banner_button_show,按钮显示,Button display,Exibir botão,การแสดงปุ่ม,Nút hiển thị,
src/locales/lang/business,business.banner_button_text,按钮文字,Button text,Texto do botão,ข้อความปุ่ม,Nút văn bản,
src/locales/lang/business,business.banner_color,Banner颜色,Banner color,Cor do banner,สี Banner,Màu sắc Banner,
src/locales/lang/routes/discountActivity,business.banner_confrim,确认修改,Confirm edit,Confirmar alteração,ยืนยันการแก้ไข,Xác nhận sửa đổi,
src/locales/lang/business,business.banner_confrim_1,批量修改状态,Batch Modify Status,,,Chỉnh sửa trạng thái hàng loạt,
src/locales/lang/business,business.banner_content,Banner内容,Banner content,Conteúdo do banner,Banner,Nội dung Banner,
src/locales/lang/business,business.banner_customer_defined,自定义,Custom,Personalizado,การปรับแต่ง,Tùy chỉnh,
src/locales/lang/business,business.banner_customer_self_defined_link,自定义链接,Custom link,Link personalizado,ปรับแต่งลิงค์,Tùy chỉnh liên kết,
src/locales/lang/business,business.banner_discount_activity,优惠活动,Promotions,Promoções,กิจกรรมโปรโมชั่น,Sự kiện khuyến mại,
src/locales/lang/business,business.banner_edit,编辑banner,Edit banner,Editar banner,แก้ไข Banner,Chỉnh sửa Banner,
src/locales/lang/business,business.banner_edit_comfirm,确认编辑,Confirm edit,Confirmar edição,ยืนยันการแก้ไข,Xác nhận chỉnh sửa,
src/locales/lang/business,business.banner_entertainment_city,娱乐城,Casino,Cassino,คาสิโน,Casino,
src/locales/lang/business,business.banner_go_next,点击跳转,Click to jump,Clique para ir,คลิกเพื่อข้าม,Nhấn để chuyển,
src/locales/lang/business,business.banner_icons,Banner图标,Banner icon,Ícone do banner,Banner Icon,Biểu tượng Banner,
src/locales/lang/business,business.banner_lean_more,了解更多,Learn more,Saiba mais,ดูเพิ่มเติม,Tìm hiểu thêm,
src/locales/lang/business,business.banner_position,Banner位置,Banner position,Posição do banner,ตำแหน่ง Banner,Vị trí Banner,
src/locales/lang/business,business.banner_sport,体育,Sports,Esportes,กีฬา,Thể thao,
src/locales/lang/business,business.banner_style,Banner样式,Banner style,Estilo do banner,รูปแบบ Banner,Kiểu Banner,
src/locales/lang/routes/discountActivity,business.banner_superscript,Banner角标,Banner badge,Etiqueta do banner,เครื่องหมายมุม Banner,Dấu hiệu Banner,
src/locales/lang/business,business.banner_tip,请输入,Please enter,"Por favor, insira",โปรดกรอก,Vui lòng nhập,
src/locales/lang/business,business.banner_upload_pic,上传图片,Upload image,Carregar imagem,อัปโหลดรูปภาพ,Tải hình ảnh lên,
src/locales/lang/business,business.batch_delete,批量删除,Bulk delete,Excluir em massa,ลบครั้งละจำนวนมาก,Xoá hàng loạt,
src/locales/lang/routes/discountActivity,business.button_redirect_type,自定义链接,Custom link,Link personalizado,ปรับแต่งลิงค์,Liên kết tuỳ chỉnh,
src/locales/lang/routes/discountActivity,business.button_type,活动跳转,Event jump,Ir para a promoção,ข้ามกิจกรรม,Bỏ qua sự kiện,
src/locales/lang/business,business.changguan,场馆,Game Lobby,,,Sảnh game ,
src/locales/lang/business,business.code_details,打码详情,Coding details,Detalhes da comissão,รายละเอียดยอดเดิมพัน,Chi tiết tiền vòng cược,
src/locales/lang/business,business.commin_vip_level,VIP等级,VIP level,Nível VIP,ระดับ VIP,Cấp bậc VIP,
src/locales/lang/business,business.common_Label,标签,Label,Etiqueta,แท็ก,Thẻ,
src/locales/lang/business,business.common_Secret_key,秘钥,Key,Chave,Key,Mã khóa,
src/locales/lang/business,business.common_access_permission,访问权限,Access rights,Permissão de acesso,สิทธิ์การเข้าถึง,Quyền truy cập,
src/locales/lang/business,business.common_account,账户,Account,Conta,บัญชีผู้ใช้,Tài khoản,
src/locales/lang/business,business.common_account_type,账号类型,Account type,Tipo de conta,ประเภทบัญชีผู้ใช้,Loại hình tài khoản,
src/locales/lang/business,business.common_account_type_1,级代理,Agent level,,,Cấp đại lý,
src/locales/lang/business,business.common_active,在线,Online,Online,ออนไลน์,Trực tuyến,
src/locales/lang/business,business.common_actual_name,真实姓名,Real name,Nome real,ชื่อจริง,Họ tên thật,
src/locales/lang/business,business.common_adapt,采纳,Adopt,Adotar,ยอมรับ,Chấp nhận,
src/locales/lang/business,business.common_address,地址,Address,Endereço,ที่อยู่,Địa chỉ,
src/locales/lang/business,business.common_agent_account,会员账号,Agent account,Conta de agente,บัญชีตัวแทน,Tài khoản hội viên,
src/locales/lang/business,business.common_agent_accountq,请输入会员账号,Please Enter member account,,,Vui lòng nhập tài khoản hội viên,
src/locales/lang/routes/discountActivity,business.common_agreement_name,通道名称,Channel name,Nome do canal,ชื่อช่องทาง,Tên kênh,
src/locales/lang/business,business.common_agreement_type,协议类型,Protocol type,Tipo de protocolo,ประเภทเครือข่าย,Loại hình thỏa thuận,
src/locales/lang/business,business.common_aliyun,阿里云,Aliyun,Alibaba Cloud,Alibaba Cloud,Aliyun,
src/locales/lang/business,business.common_all,全部,All,Tudo,ทั้งหมด,Toàn bộ,
src/locales/lang/business,business.common_all_dispatch,批量处理,Batch Processing,,,Xử lý hàng loạt,
src/locales/lang/business,business.common_all_dispath,已选,Selected,,,Đã chọn,
src/locales/lang/business,business.common_all_dispath_1,项,Item,,,Mục,
src/locales/lang/business,business.common_already_coded,已打码,Coded,Comissão paga,ยอดเดิมพันที่เดิมพันแล้ว,Đã đặt tiền vòng cược,
src/locales/lang/business,business.common_auditors,审核人员,Reviewer,Revisor,ผู้ตรวจสอบ,Người xét duyệt,
src/locales/lang/business,business.common_auditors_time,审核时间,Review time,Hora da revisão,เวลาตรวจสอบ,Thời gian xét duyệt,
src/locales/lang/business,business.common_auto_1,自动派放,Automatic distribution,,,Tự động phát,
src/locales/lang/business,business.common_auto_2,前台领取,Front desk collection,,,Đài trước nhận,
src/locales/lang/business,business.common_auto_3,人工发放,Manual distribution,,,Thủ công phát,
src/locales/lang/business,business.common_before_yesterday,前天,Day before,Anteontem,วันก่อนหน้านี้,Hôm kia,
src/locales/lang/business,business.common_bet_mount,有效投注金额,Valid bet amount,,,Số tiền cược hợp lệ,
src/locales/lang/business,business.common_cancel,取消,Cancel,Cancelar,ยกเลิก,Hủy bỏ,
src/locales/lang/business,business.common_cdn_manager,CDN管理,CDN management,Gestão de CDN,การจัดการ CDN,Quản lý CDN,
src/locales/lang/business,business.common_chang_status,修改状态,Modify status,,,Chỉnh sửa trạng thái,
src/locales/lang/business,business.common_change_time,变更时间,Change time,Hora da alteração,เวลาในการเปลี่ยนแปลง,Thời gian thay đổi,
src/locales/lang/business,business.common_client,客户端,Client,Cliente,เครือข่าย,Cổng khách hàng,
src/locales/lang/business,business.common_collection,收款,Collection,Receber pagamento,ข้อมูลบัญชีรับเงิน,Nhập khoản,
src/locales/lang/business,business.common_copy_suceess,复制成功,Copy successful,Copiado com sucesso,คัดลอกสำเร็จ,Sao chép thành công,
src/locales/lang/business,business.common_copy_tip,请输入要拷贝的内容,Please enter the content to be copied,"Por favor, insira o conteúdo a ser copiado",โปรดป้อนเนื้อหาที่ต้องการคัดลอก,Vui lòng nhập nội dung cần sao chép,
src/locales/lang/business,business.common_count_date,日期,Date,Data,วันที่,Ngày,
src/locales/lang/business,business.common_count_time,时间,Time,Hora,เวลา,Thời gian,
src/locales/lang/business,business.common_country_region,国家/地区,Country/Region,País/Região,ประเทศ/ภูมิภาค,Quốc gia/Khu vực,
src/locales/lang/business,business.common_currency,币种,Currency,Moeda,สกุลเงิน,Tiền tệ,
src/locales/lang/business,business.common_currency_all,币种总览,Currency overview,Visão geral das moedas,ภาพรวมสกุลเงิน,Tổng quan tiền tệ,
src/locales/lang/business,business.common_currency_fullname,货币全称,Currency full name,Nome completo da moeda,ชื่อสกุลเงินทั้งหมด,Tên tiền tệ,
src/locales/lang/business,business.common_current_rate,实时汇率,Real-time exchange rate,Taxa de câmbio em tempo real,อัตราแลกเปลี่ยนตามเวลาจริง,Tỷ giá theo thời gian thực tế,
src/locales/lang/business,business.common_current_reference,货币参考,Currency reference,Referência de moeda,อ้างอิงสกุลเงิน,Tham khảo tiền tệ,
src/locales/lang/business,business.common_current_timeZone,当前时区,Current time zone,Fuso horário atual,โซนเวลาปัจจุบัน,Múi giờ hiện tại,
src/locales/lang/business,business.common_deactivate,停用,Disable,Desativar,ปิดการใช้งาน,Dừng sử dụng,
src/locales/lang/business,business.common_deal_with,去处理,Process,Processar,ดำเนินการจัดการ,Đi xử lý,
src/locales/lang/business,business.common_deal_with_1,处理,Process,,,Xử lý,
src/locales/lang/business,business.common_delete,删除,Delete,Excluir,ลบออก,Xóa bỏ,
src/locales/lang/business,business.common_delete_1,您确定要删除,Are you sure you want to delete ?,,,Bạn chắc chắc muốn xóa?,
src/locales/lang/business,business.common_delete_2,这个广告分组吗？,This ad group?,,,Nhóm quảng cáo này?,
src/locales/lang/business,business.common_delete_b,移除,Remove,Remover,นำออก,Loại bỏ,
src/locales/lang/business,business.common_deposit1,一存,First deposit,Primeiro depósito,ฝากครั้งแรก,Nạp lần đầu,
src/locales/lang/business,business.common_deposit2,二存,Second deposit,Segundo depósito,ฝากครั้งที่สอง,Nạp lần thứ hai,
src/locales/lang/business,business.common_deposit3,三存,Third deposit,Terceiro depósito,ฝากครั้งที่สาม,Nạp lần thứ ba,
src/locales/lang/business,business.common_deposit_type,存款类型,Deposit type,Tipo de depósito,ประเภทการฝากเงิน,Loại hình nạp tiền,
src/locales/lang/business,business.common_detail,详情,Details,Detalhes,รายละเอียด,Chi tiết,
src/locales/lang/business,business.common_detail_p,复式投注详情,Multiple bets details,,,Nhiều chi tiết đơn cược,
src/locales/lang/business,business.common_disbursement_approval,出款审核,Withdrawal review,Revisão de retirada,ตรวจสอบการจ่ายเงิน,Xét duyệt xuất khoản,
src/locales/lang/business,business.common_disbursement_in_progress,出款中,Withdrawing,Retirando,อยู่ระหว่างจ่ายเงิน,Đang xuất khoản,
src/locales/lang/business,business.common_dispath_1,已选,selected,,,Đã chọn,
src/locales/lang/business,business.common_dispath_2,项,item,,,Mục,
src/locales/lang/business,business.common_edit,编辑,Edit,Editar,แก้ไข,Chỉnh sửa,
src/locales/lang/business,business.common_email_account,邮箱账号,Email account,Conta de email,Email,Tài khoản Email,
src/locales/lang/business,business.common_email_account_correct_tip,请输入正确的邮箱账号,Please enter a valid email account,"Por favor, insira um endereço de email válido",โปรดป้อนที่อยู่ Email ที่ถูกต้อง,Vui lòng nhập đúng tài khoản Email,
src/locales/lang/business,business.common_email_account_tip,请输入邮箱账号,Please enter email account,"Por favor, insira um endereço de email",โปรดป้อนที่อยู่ Email,Vui lòng nhập tài khoản Email,
src/locales/lang/business,business.common_email_account_tip1,请输入邮箱地址,Please enter email address,,,Vui lòng nhập địa chỉ Email,
src/locales/lang/business,business.common_end,结束,End,Finalizar,สิ้นสุด,Kết thúc,
src/locales/lang/business,business.common_end_time,结束日期,End date,Data de término,วันที่สิ้นสุด,Ngày kết thúc,
src/locales/lang/common,business.common_error_level,vip等级最高为VIP100,The highest VIP level is VIP100,O nível VIP máximo é VIP100,ระดับ VIP สูงสุดคือ 100,Cấp bậc VIP cao nhất là 100,
src/locales/lang/business,business.common_exchanging,交易中,Transaction in progress,Em transação,อยู่ระหว่างทำธุรกรรม,Đang giao dịch,
src/locales/lang/business,business.common_export,导出,Export,Exportar,ส่งออก,Xuất ra,
src/locales/lang/business,business.common_fail,失败,Failed,Falha,ล้มเหลว,Thất bại,
src/locales/lang/business,business.common_first_time,首次,First,Primeira vez,ฝากครั้งแรก,Lần đầu tiên,
src/locales/lang/business,business.common_frequency_error,次数错误,Number of errors,Erro de contagem,จำนวนครั้ง ที่ผิดพลาด,Số lần lỗi,
src/locales/lang/business,business.common_game_name,场馆名,Game Lobby name,,,,
src/locales/lang/business,business.common_game_type,游戏类型,Game type,Tipo de jogo,ประเภทเกม,Loại hình trò chơi,
src/locales/lang/business,business.common_go_check,点击查看,Click to view,Clique para Visualizar,คลิกเพื่อดู,Nhấn vào xem,
src/locales/lang/business,business.common_hb,红包,Red envelope,,,Lì xì,
src/locales/lang/business,business.common_hidden,隐藏,Hide,Ocultar,ซ่อน,Ẩn,
src/locales/lang/business,business.common_hierarchy,层级,Level,Nível,ระดับชั้น,Cấp bậc,
src/locales/lang/business,business.common_hierarchy_status,层级状态,Level status,Status do nível,สถานะระดับชั้น,Cấp bậc trạng thái,
src/locales/lang/business,business.common_import,导入,Import,Importar,นำเข้า,Nhập vào,
src/locales/lang/business,business.common_income_approval,入款审核,Deposit review,Revisão de depósito,ตรวจสอบการฝากเงิน,Xét duyệt nhập khoản,
src/locales/lang/business,business.common_inquire,查询,Query,Consultar,ค้นหา,Kiểm tra,
src/locales/lang/business,business.common_internation,国际,International,Internacional,นานาชาติ,Quốc tế,
src/locales/lang/business,business.common_jl,记录,Record,,,Ghi,
src/locales/lang/business,business.common_label_edit,标签编辑,Label edit,Edição de etiqueta,แก้ไขแท็ก,Chỉnh sửa thẻ,
src/locales/lang/business,business.common_level,等级,Level,Nível,ระดับ,Cấp độ,
src/locales/lang/business,business.common_member_Coding_multiple,打码倍数,Bet Turnover Multiplier.,,,Bội số tiền vòng cược,
src/locales/lang/business,business.common_member_account,会员账号,Member account,Conta de Membro,หมายเลขบัญชีสมาชิก,Tài khoản hội viên,
src/locales/lang/business,business.common_member_account_p,请选择会员账号,Please select member account,,,Vui lòng lựa chọn tài khoản hội viên,
src/locales/lang/business,business.common_member_cash_profit,现金利润,Cash Profit,,,Lợi nhuận tiền mặt,
src/locales/lang/business,business.common_member_commission_reward,代理佣金,Agent Commissions,,,Hoa hồng đại lý,
src/locales/lang/business,business.common_member_currency,币种,Currency,,,Tiền tệ,
src/locales/lang/business,business.common_member_date,日期,Date,,,Ngày,
src/locales/lang/business,business.common_member_discount_money,优惠金额,Discount amount,,,Số tiền chiết khấu,
src/locales/lang/business,business.common_member_level,会员层级,Member level,Nível de Membro,ระดับสมาชิก,Cấp bậc hội viên,
src/locales/lang/business,business.common_member_outlay,投注金额,Bet amount,,,Số tiền đặt cược,
src/locales/lang/business,business.common_member_platform_iswin,平台输赢,Platform win/loss,,,Nền tảng thắng thua,
src/locales/lang/business,business.common_member_profit_Proportion,利润占比,Profit Ratio,,,Tỷ lệ lợi nhuận,
src/locales/lang/business,business.common_member_sameday_deposit,当日存款,Today's Deposit,,,Tiền nạp trong ngày,
src/locales/lang/business,business.common_member_sameday_withdraw,当日取款,Today's withdrawal,,,Tiền rút trong ngày,
src/locales/lang/business,business.common_member_valid_outlay,有效投注,Valid bet,,,Tiền cược hợp lệ,
src/locales/lang/business,business.common_memorandum,备忘录,Memo,Memorando,บันทึกช่วยจำ,Ghi chú,
src/locales/lang/business,business.common_month,本月,This month,Este mês,เดือนนี้,Tháng này,
src/locales/lang/business,business.common_no,否,No,Não,ไม่,Không,
src/locales/lang/business,business.common_nochang,无修改,No Modification,,,Không được sửa,
src/locales/lang/business,business.common_normal,正常,Normal,Normal,ปกติ,Bình thường,
src/locales/lang/business,business.common_not_prc,非大陆,Non-mainland China,Fora da China continental,ไม่ใช่ P.R.C,Không thuộc Trung Quốc đại lục,
src/locales/lang/business,business.common_note_name,备注名称,Remark name,Nome da Observação,ชื่อหมายเหตุ,Tên ghi chú,
src/locales/lang/routes/discountActivity,business.common_note_name_p,请输入备注名称,Please enter remark name,"Por favor, insira o nome da observação",โปรดกรอกชื่อหมายเหตุ,Vui lòng nhập tên ghi chú,
src/locales/lang/business,business.common_nothing_message,暂无信息,No information,Sem informações,ไม่มีข้อมูลในขณะนี้,Tạm không có thông tin,
src/locales/lang/business,business.common_nothing_message_remark,暂无备注,No remarks at the moment,,,Không có ghi chú,
src/locales/lang/business,business.common_off,关闭,Close,Fechar,ปิด,Tắt,
src/locales/lang/business,business.common_offline,离线,Offline,Offline,ออฟไลน์,Ngoại tuyến,
src/locales/lang/business,business.common_ok,确认,Confirm,Confirmar,ยืนยัน,Xác nhận,
src/locales/lang/business,business.common_on,开启,Open,Abrir,เปิด,Mở,
src/locales/lang/business,business.common_on_activate,启用,Enable,Ativar,เปิดใช้งาน,Bật,
src/locales/lang/business,business.common_on_approving,审核中,Under review,Em revisão,อยู่ระหว่างตรวจสอบ,Đang xét duyệt,
src/locales/lang/business,business.common_on_paying,支付中,In payment,Em pagamento,อยู่ระหว่างชำระ,Đang thanh toán,
src/locales/lang/business,business.common_operate,操作,Operation,Operação,ดำเนินการ,Thao tác,
src/locales/lang/business,business.common_operate_people,操作人,Operator,Operador,ผู้ดำเนินการ,Người thao tác,
src/locales/lang/business,business.common_order_number,订单号,Order number,Número do pedido,หมายเลขคำสั่ง,Mã đơn,
src/locales/lang/business,business.common_original,翻译原文,Translate original text,Traduzir original,แปลข้อความต้นฉบับ,Dịch văn bản gốc,
src/locales/lang/business,business.common_password,默认密码,Default password,Senha padrão,รหัสผ่านเริ่มต้น,Mật khẩu mặc định,
src/locales/lang/business,business.common_pause,暂停,Pause,Pausar,หยุดชั่วคราว,Dừng,
src/locales/lang/business,business.common_pay_edit,支付修改,Payment modification,Modificar pagamento,แก้ไขการชำระเงิน,Thanh toán sửa đổi,
src/locales/lang/business,business.common_pending_application,待申请,Pending application,Aguardando solicitação,อยู่ระหว่างยื่นเรื่อง,Đang chờ xin,
src/locales/lang/business,business.common_pending_approval,待审核,Pending review,Aguardando revisão,รอการตรวจสอบ,Đợi xét duyệt,
src/locales/lang/business,business.common_pending_approval_Received,已发放(领取),Issued (received),Emitido (recebido),จ่ายออกแล้ว (ได้รับแล้ว),Đã phát (nhận lĩnh),
src/locales/lang/business,business.common_pending_approval_have,已审核,Reviewed,Revisado,ตรวจสอบแล้ว,Đã xét duyệt,
src/locales/lang/business,business.common_pending_approval_reject,审核拒绝,Review rejected,Revisão recusada,การตรวจสอบถูกปฏิเสธ,Từ chối xét duyệt,
src/locales/lang/business,business.common_pending_approval_suceess,审核通过,Review approved,Revisão aprovada,การตรวจสอบถูกอนุมัติ,Thông qua xét duyệt,
src/locales/lang/business,business.common_pending_wait_Received,待领取,Pending receipt,Aguardando recebimento,อยู่ระหว่างรับ,Đợi nhận lĩnh,
src/locales/lang/business,business.common_period_end,结束时间,End time,Hora de término,เวลาสิ้นสุด,Thời gian kết thúc,
src/locales/lang/business,business.common_period_start,开始时间,Start time,Hora de início,เวลาเริ่มต้น,Thời gian bắt đầu,
src/locales/lang/business,business.common_phone_number,手机号码,Phone number,Número de telefone,หมายเลขโทรศัพท์,Số điện thoại,
src/locales/lang/business,business.common_platform,平台,Platform,Plataforma,แพลตฟอร์ม,Nền tảng,
src/locales/lang/business,business.common_protocol,协议,Protocol,Protocolo,เครือข่าย,Thỏa thuận,
src/locales/lang/business,business.common_realiy_name,会员姓名,Member name,Nome do membro,ชื่อสมาชิก,Họ tên hội viên,
src/locales/lang/business,business.common_recy_mount,返水金额,Cashback Amount,,,Số tiền giảm giá,
src/locales/lang/business,business.common_recy_rate,返水比例,Cashback Rate,,,Tỷ lệ giảm giá,
src/locales/lang/business,business.common_reject,拒绝,Reject,Recusar,ปฏิเสธ,Từ chối,
src/locales/lang/business,business.common_remark,备注,Remark,Observação,บันทึก,Ghi chú,
src/locales/lang/business,business.common_remarks_infor,备注信息,Remark information,Informações da Observação,บันทึกข้อมูล,Thông tin ghi chú,
src/locales/lang/business,business.common_remarks_reason,请输入原因,Please enter the reason,,,Vui lòng nhập nguyên nhân,
src/locales/lang/business,business.common_replay,回复,Reply,Responder,ตอบกลับ,Trả lời,
src/locales/lang/business,business.common_required_coding,所需打码,Required coding,Código necessário,ยอดเดิมพันที่จำเป็น,Yêu cầu tiền vòng cược,
src/locales/lang/business,business.common_search_tip,请输入查询内容,Please enter query content,"Por favor, insira o conteúdo da consulta",โปรดป้อนเนื้อหาอ้างอิง,Vui lòng nhập nội dung truy vấn,
src/locales/lang/business,business.common_second,秒,Seconds,Segundos,วินาที,Giây,
src/locales/lang/business,business.common_second_time,二次,Second time,Segunda vez,ครั้งที่สอง,Hai lần,
src/locales/lang/business,business.common_select_all,全选,Select all,Selecionar tudo,เลือกทั้งหมด,Chọn tất cả,
src/locales/lang/business,business.common_show,显示,Display,Mostrar,แสดงผล,Hiển thị,
src/locales/lang/business,business.common_site_name,站点名称,Site name,Nome do site,ชื่อเว็บไซต์,Tên trang wed,
src/locales/lang/business,business.common_site_number,站点代号,Site code,Código do site,รหัสเว็บไซต์,Số hiệu trang wed,
src/locales/lang/business,business.common_site_protocol,站点编号,Site number,Número do site,หมายเลขเว็บ,Trang wed mã hoá,
src/locales/lang/business,business.common_sort,排序,Sort,Ordenar,เรียงลำดับ,Thứ tự,
src/locales/lang/business,business.common_start,开始,Start,Iniciar,เริ่มต้น,Bắt đầu,
src/locales/lang/business,business.common_start_time,开始日期,Start date,Data de início,วันที่เริ่มต้น,Ngày bắt đầu,
src/locales/lang/business,business.common_status,状态,Status,Status,สถานะ,Trạng thái,
src/locales/lang/common,business.common_status_1,过期关闭,Session Expired and close,,,Hết hạn đóng ,
src/locales/lang/business,business.common_status_2,手动结束,Manual End,,,Kết thúc thủ công ,
src/locales/lang/business,business.common_sub_total,小计,Subtotal,Subtotal,ผลรวมย่อย,Tổng phụ,
src/locales/lang/business,business.common_submission_time,提交时间,Submission time,Hora de envio,เวลาที่ส่งออก,Thời gian gửi,
src/locales/lang/business,business.common_success,成功,Success,Sucesso,สำเร็จ,Thành công,
src/locales/lang/business,business.common_suceess,通过,Pass,Aprovado,อนุมัติ,Thông qua,
src/locales/lang/business,business.common_super_agent,上级代理,Superior agent,Agente superior,เจ้าหน้าตัวแทน,Đại lý cấp trên,
src/locales/lang/business,business.common_super_agent_line,上级代理,Agent line,Linha de agentes,สายตัวแทน,Đại lý cấp trên,
src/locales/lang/routes/discountActivity,business.common_theme,轮播类型,Carousel type,Tipo de rotação,ประเภทการหมุนเวียน,Loại hình tuyên truyền,
src/locales/lang/routes/discountActivity,business.common_theme_1,win6,win6,Win6,win6,win6,
src/locales/lang/routes/discountActivity,business.common_theme_2,win8,win8,Win8,win8,win8,
src/locales/lang/business,business.common_third_time,三次,Third time,Terceira vez,สามครั้ง,3 lần,
src/locales/lang/business,business.common_three_way_err,三方异常,Third-party exception,Anomalia de terceiros,ช่องทางชำระเงินที่สามผิดปกติ,Bên thứ 3 bất thường,
src/locales/lang/business,business.common_time_please,请选择日期,Please select a date,"Por favor, selecione a data",โปรดเลือกวันที่,Vui lòng chọn ngày,
src/locales/lang/business,business.common_tiss_1,最少选择5项活动,Please select minimum 5 event,,,Chọn ít nhất 5 hoạt động,
src/locales/lang/business,business.common_tiss_2,优惠总额不能取消选中,Total discount cannot be deselected,,,Tổng giảm giá không thể bỏ chọn,
src/locales/lang/business,business.common_title,标题,Title,Título,หัวข้อ,Tiêu đề,
src/locales/lang/business,business.common_today,今天,Today,Hoje,วันนี้,Hôm nay,
src/locales/lang/business,business.common_total,总计,Total,Total,ผลรวม,Tổng cộng,
src/locales/lang/business,business.common_type,类型,Type,Tipo,ประเภท,Loại hình,
src/locales/lang/business,business.common_type_1,稽核,Audit,,,Kiểm toán ,
src/locales/lang/common,business.common_type_2,入口,Enterance,,,Cửa vào ,
src/locales/lang/business,business.common_update_time,更新时间,Update time,Hora de atualização,เวลาที่อัปเดต,Thời gian cập nhật,
src/locales/lang/business,business.common_way,方式,Method,Método,ช่องทาง,Phương thức,
src/locales/lang/business,business.common_week,本周,This week,Esta semana,สัปดาห์นี้,Tuần này,
src/locales/lang/business,business.common_yes,是,Yes,Sim,ใช่,Có,
src/locales/lang/business,business.common_yesterday,昨天,Yesterday,Ontem,เมื่อวาน,Hôm qua,
src/locales/lang/business,business.comon_ignore,忽略,Ignore,Ignorar,ไม่สนใจ,Bỏ qua,
src/locales/lang/business,business.comon_save,保存,Save,Salvar,บันทึก,Lưu lại,
